System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
CASS,P,P875,1 PETERBILT DR,PB TRUCK CENTER OF LITTLE ROCK,LITTLE ROCK,AR,US,72117
CASS,P,P875,1 PETERBILT DR,PB TRUCK CENTER OF LITTLE ROCK,LITTLE ROCK,AR,US,72117
CASS,P,P875,1 PETERBILT DR,PB TRUCK CENTER OF LITTLE ROCK,LITTLE ROCK,AR,US,72117
SAP S4,SAP S4,P875,1 PETERBILT DR,PB TRUCK CENTER OF LITTLE ROCK,NORTH LITTLE ROCK,AR,US,72117
SAP S4,SAP S4,P518,1 PETERBILT DR,PTC OF ARKANSAS LLC,NORTH LITTLE ROCK,AR,US,72117
CASS,P,UNK,1 PLACE BONAVENTURE,PLACE BONAVENTURE,MONTREAL,QC,CA,H5A1G1
SAP S4,SAP S4,305586,1 PLACE VILLE MARIE,LAVERY DE BILLY SENCRL,MONTREAL,QC,CA,H3B 4M4
CASS,W,4186,1 PORK AVE,NEW PIG CORP PIG PLACE,TIPTON,PA,US,16684
Winch,,4186,1 PORK AVE,"NEW PIG CORP, PIG PLACE",TIPTON,PA,US,16684-0304
CASS,T,11883AA,1 PORK AVE,NEW PIG CORPORATION,TIPTON,PA,US,16684
PTS,,4186,1 PORK AVE,"NEW PIG CORP, PIG PLACE",TIPTON,PA,USA,16684
SAP S4,SAP S4,304218,1 PORSCHE DR,PORSCHE CARS NORTH AMERICA INC,ATLANTA,GA,US,35054
SAP S4,SAP S4,304039,1 RINGWAY CENTRE,SHERBORNE SENSORS INC,WYCKOFF,NJ,US,7481
SAP S4,SAP S4,306240,1 RINGWAY CENTRE EDISON ROAD,SHERBORNE SENSOR LIMITED,BASINGSTOKE,,GB,RG21 6YH
CASS,T,UNK,1 RITTAL PL,RITTAL CORP,URBANA,OH,US,43078
CASS,T,17011AA,1 RIVERSIDE DRIVE,PENN UNION CORP,ANSONIA,CT,US,6432
PTS,,17011AA,1 RIVERSIDE DRIVE,PENN-UNION CORP,ANSONIA,CT,USA,6432
CASS,T,UNK,1 ROYAL PURPLE LANE,ROYAL PURPLE,PORTER,TX,US,77365
CASS,P,UNK,1 SAN ATNONIO WAY,PECTO,PAWTUCKET,RI,US,2860
CASS,T,UNK,1 SCROLL DR,DANFOSS SCROLL TECHNOLOGIES,ARKADELPHIA,AR,US,71923
CASS,P,UNK,1 SENECA DR,ELRING KLINGER LEAMINGTON,LEAMINGTON,ON,CA,N8H5P2
PTS,,21794AAN8H,1 Seneca Road,Elringklinger,LEAMINGTON,ON,CA,N8H 5P2
SAP S4,SAP S4,306817,1 SEVENTH AVE,HENDRICK MFG CO,CARBONDALE,PA,US,18407
PTS,,08193AB184,1 Seventh Ave,Hendrick MFG,CARBONDALE,PA,USA,18407
CASS,P,08193AB184,1 SEVENTH AVENUE,HENDRICK MFG,CARBONDALE,PA,US,18407
CASS,T,19717AA,1 SEVENTH AVENUE,HENDRICK MFG,CARBONDALE,PA,US,18407
PTS,,19717AA,1 SEVENTH AVENUE,HENDRICK,CARBONDALE,PA,USA,18407
SAP S4,SAP S4,302792,1 SHIELDS AVENUE,UNIVERSITY OF CALIFORNIA DAVIS,DAVIS,CA,US,95616
CASS,T,UNK,1 SIOUX PLZ,SIOUX CORP,BERESFORD,SD,US,57004
SAP S4,SAP S4,300463,1 STATE FARM PLAZA,STATE FARM MUTUAL AUTOMOBILE,BLOOMINGTON,IL,US,61710-0000
CASS,W,3077,1 STATIONARY PLACE,HOLIDAY SENTIMENTS,REXBURG,ID,US,83441
PTS,,3077,1 STATIONARY PLACE,HOLIDAY SENTIMENTS,REXBURG,ID,USA,83441
CASS,W,UNK,1 SUNGEI KADUT AVENUE,SPARROWS OFFSHORE SERVICES LTD,SINGAPORE,XX,SG,729680
CASS,T,79876AB,1 SYMBOL PLACE,SYMBOL TECHNOLOGIES INC,HOLTSVILLE,NY,US,11742
