pec,Material,Description
pec,2102345,"Hose,m40213/40214"
pec,2102346,"Pipe,sensor"
pec,2102391,"Pump,fuel"
pec,2102427,"Pipe,sensor"
pec,2102435,"Bracket,air inl.eng."
pec,2102436,"Bracket,air inl.eng."
pec,2102462,"Pipe,coolant,11-31"
pec,2102463,"Pipe,coolant,11-31"
pec,2102468,"Pipe,coolant,11-31"
pec,2102469,"Pipe,coolant,11-31"
pec,2104599,"Wiring harness,eng."
pec,2104751,"Wiring harness,eng."
pec,2104843,"Cover,cyl.block"
pec,2104861,"Ring/disc,puls gen."
pec,2104874,Connecting rod
pec,2106210,"Gasket,exhaust"
pec,2106218,Gasket general
pec,2106220,"Gasket,exhaust"
pec,2106744,Gear wheel
pec,2107858,Spring cap
pec,2107859,Spring cap
pec,2107869,"Pipe,coolant"
pec,2107871,"Filter,fuel"
